elapsed_seconds,distance_miles,pace_per_mile,heartrate,altitude_ft
0,0.0,,96,60.4
1,0.0,,96,59.7
2,0.0,11:55,97,59.7
3,0.0,12:00,97,59.1
4,0.01,11:17,97,59.7
5,0.01,10:38,97,60.4
6,0.01,10:14,99,60.4
7,0.01,10:00,99,61.0
8,0.01,9:47,100,61.0
9,0.01,9:56,101,61.0
10,0.02,10:33,102,61.0
11,0.02,10:48,103,61.7
12,0.02,10:59,104,62.3
13,0.02,11:58,105,62.3
14,0.02,13:16,106,63.6
15,0.02,13:49,108,63.6
16,0.02,13:58,110,64.3
17,0.02,13:58,112,64.3
18,0.03,13:01,115,65.0
19,0.03,11:45,117,65.0
20,0.03,11:05,118,65.0
21,0.03,10:43,118,65.0
22,0.03,10:14,119,65.0
23,0.03,9:51,120,65.0
24,0.04,10:05,121,65.6
25,0.04,10:48,122,65.6
26,0.04,11:39,123,65.6
27,0.04,12:46,123,65.6
28,0.04,13:49,124,65.6
29,0.04,13:41,125,65.0
30,0.04,12:53,126,65.0
31,0.04,12:11,126,64.3
32,0.05,11:45,126,64.3
33,0.05,10:54,126,63.6
34,0.05,10:54,126,63.6
35,0.05,11:21,127,63.0
36,0.05,11:39,127,63.0
37,0.05,11:21,127,63.0
38,0.06,11:21,128,63.0
39,0.06,11:21,128,63.0
40,0.06,10:48,128,63.0
41,0.06,10:23,128,63.0
42,0.06,10:33,129,63.0
43,0.06,10:54,130,62.3
44,0.06,10:54,130,62.3
45,0.07,10:38,131,62.3
46,0.07,11:10,130,61.7
47,0.07,11:21,130,61.7
48,0.07,10:59,130,61.7
49,0.07,10:59,130,61.0
50,0.07,11:27,131,60.4
51,0.08,10:59,131,60.4
52,0.08,10:54,132,59.7
53,0.08,10:59,132,59.7
54,0.08,10:48,132,59.1
55,0.08,10:43,131,59.1
56,0.08,10:33,132,59.1
57,0.08,10:28,132,59.1
58,0.09,10:23,132,59.1
59,0.09,10:18,133,59.1
60,0.09,10:14,133,58.4
61,0.09,10:28,134,58.4
62,0.09,10:18,133,58.4
106,0.09,447:02,104,53.8
107,0.09,993:25,113,53.1
108,0.09,496:42,114,53.1
109,0.1,279:24,116,53.1
110,0.1,195:47,117,53.1
111,0.1,15:57,117,53.1
112,0.1,14:07,115,53.1
113,0.1,13:08,115,53.8
114,0.1,12:46,115,53.8
115,0.1,13:01,114,53.8
116,0.1,12:46,113,53.8
117,0.11,12:39,112,53.8
118,0.11,12:32,110,53.8
119,0.11,13:08,109,53.8
120,0.11,13:01,110,53.8
121,0.11,12:53,110,53.8
122,0.11,12:53,111,53.8
123,0.11,12:32,111,53.8
124,0.12,12:04,111,53.8
125,0.12,11:39,111,53.1
126,0.12,11:27,112,53.8
127,0.12,11:39,113,53.8
128,0.12,11:52,115,53.8
129,0.12,12:04,117,53.8
130,0.12,13:08,118,54.5
131,0.12,13:58,120,54.5
132,0.13,13:58,120,54.5
133,0.13,13:58,122,54.5
134,0.13,13:32,122,54.5
135,0.13,12:39,123,54.5
136,0.13,12:11,124,54.5
137,0.13,12:53,124,54.5
138,0.13,13:08,124,54.5
139,0.13,13:24,125,54.5
140,0.14,13:41,126,54.5
141,0.14,13:32,126,54.5
142,0.14,12:39,127,54.5
143,0.14,12:25,127,54.5
144,0.14,12:39,128,54.5
145,0.14,12:53,129,54.5
146,0.14,12:39,129,54.5
147,0.15,12:32,130,54.5
148,0.15,12:39,130,55.1
149,0.15,11:45,130,55.1
150,0.15,11:27,130,55.1
151,0.15,11:52,130,55.1
152,0.15,12:18,130,55.1
153,0.15,12:32,128,55.1
154,0.15,13:01,126,55.1
155,0.16,12:53,124,55.1
156,0.16,12:25,119,55.1
157,0.16,11:58,118,55.1
158,0.16,11:39,119,55.1
159,0.16,11:39,119,54.5
160,0.16,11:21,119,54.5
161,0.16,11:21,119,54.5
162,0.17,11:10,119,54.5
163,0.17,10:59,117,54.5
164,0.17,11:10,111,54.5
165,0.17,11:21,109,55.1
166,0.17,11:45,110,55.1
167,0.17,12:39,115,55.1
168,0.17,13:08,120,55.8
169,0.18,12:46,126,55.8
170,0.18,12:46,128,55.8
171,0.18,12:46,130,55.8
172,0.18,12:46,132,55.8
173,0.18,12:11,133,55.8
174,0.18,12:46,136,56.4
175,0.18,13:16,136,57.1
176,0.18,13:24,137,57.7
177,0.19,14:16,138,58.4
178,0.19,14:25,139,59.1
179,0.19,15:04,139,59.7
180,0.19,14:44,141,60.4
181,0.19,14:34,141,61.0
182,0.19,13:32,141,61.0
183,0.19,13:58,141,61.7
184,0.19,12:53,141,61.7
185,0.2,13:01,142,62.3
186,0.2,12:53,141,62.3
187,0.2,12:32,141,63.0
188,0.2,12:39,141,63.6
189,0.2,13:16,142,63.6
190,0.2,13:08,141,64.3
191,0.2,13:08,141,64.3
192,0.2,12:32,141,65.0
193,0.21,12:11,142,65.6
194,0.21,11:27,142,65.6
195,0.21,11:33,142,66.3
196,0.21,11:52,142,66.3
197,0.21,11:52,142,66.9
198,0.21,11:52,142,66.9
199,0.21,12:32,143,66.9
200,0.22,12:39,143,66.9
201,0.22,12:18,144,67.6
202,0.22,13:24,143,67.6
203,0.22,13:58,143,67.6
204,0.22,13:58,143,68.2
205,0.22,13:32,143,68.2
206,0.22,13:58,143,68.2
207,0.22,13:16,143,68.2
208,0.23,13:32,143,68.9
209,0.23,14:16,143,68.9
210,0.23,13:58,143,68.9
211,0.23,13:41,143,69.6
212,0.23,14:16,143,69.6
213,0.23,13:58,144,70.2
214,0.23,12:46,143,70.2
215,0.23,13:32,143,70.9
216,0.24,13:32,144,70.9
217,0.24,13:01,144,71.5
218,0.24,12:39,144,71.5
219,0.24,12:39,145,71.5
220,0.24,12:18,144,72.2
221,0.24,12:04,144,72.2
222,0.24,13:01,144,72.2
223,0.24,13:58,144,72.8
224,0.24,14:54,144,72.8
225,0.25,15:14,144,73.5
226,0.25,16:09,144,73.5
227,0.25,15:24,143,73.5
228,0.25,14:34,143,74.1
229,0.25,14:07,144,74.8
230,0.25,14:16,144,74.8
231,0.25,13:32,144,75.5
232,0.26,12:25,145,75.5
233,0.26,12:18,145,75.5
234,0.26,12:18,145,76.1
235,0.26,11:45,146,76.1
236,0.26,11:33,146,76.1
237,0.26,12:32,147,76.8
238,0.26,13:01,147,76.8
239,0.26,12:39,147,77.4
240,0.27,13:08,148,77.4
241,0.27,13:41,148,77.4
242,0.27,12:18,146,77.4
243,0.27,11:27,146,77.4
244,0.27,11:21,147,78.1
245,0.27,11:27,147,78.1
246,0.27,11:21,147,78.1
247,0.28,12:18,147,78.1
248,0.28,13:01,145,78.1
249,0.28,13:32,146,78.1
250,0.28,13:08,146,78.1
251,0.28,13:16,146,78.1
252,0.28,13:08,146,78.1
253,0.28,12:25,146,78.1
254,0.28,11:58,147,78.1
255,0.29,11:27,147,78.1
256,0.29,11:16,146,78.7
257,0.29,11:05,146,78.7
258,0.29,10:59,147,78.7
259,0.29,11:16,146,78.1
260,0.29,11:16,147,77.4
261,0.29,11:27,147,77.4
262,0.3,11:58,147,77.4
263,0.3,12:25,148,77.4
264,0.3,12:39,148,77.4
265,0.3,13:41,148,77.4
266,0.3,14:16,148,77.4
267,0.3,13:01,149,77.4
268,0.3,13:01,149,77.4
269,0.31,12:11,149,77.4
270,0.31,11:45,149,77.4
271,0.31,11:10,149,77.4
272,0.31,11:58,149,77.4
273,0.31,12:04,149,77.4
274,0.31,12:39,149,77.4
275,0.31,12:53,149,78.1
276,0.31,13:24,149,78.1
277,0.32,13:32,149,78.1
278,0.32,12:46,148,78.1
279,0.32,12:39,149,78.1
280,0.32,12:25,147,78.1
281,0.32,12:18,147,78.7
282,0.32,12:39,148,78.7
283,0.32,13:16,149,78.7
284,0.32,13:32,148,78.1
285,0.33,14:07,148,78.1
286,0.33,13:49,148,78.1
287,0.33,12:25,148,78.1
288,0.33,12:18,148,78.1
289,0.33,11:33,148,77.4
290,0.33,10:54,147,77.4
291,0.33,11:10,148,77.4
292,0.34,11:45,148,77.4
293,0.34,11:52,148,77.4
294,0.34,12:46,148,77.4
295,0.34,13:16,148,77.4
296,0.34,12:32,147,77.4
297,0.34,12:18,147,77.4
298,0.34,11:58,148,77.4
299,0.35,12:11,148,77.4
300,0.35,12:11,147,77.4
301,0.35,12:04,147,78.1
302,0.35,12:04,147,77.4
303,0.35,12:25,147,77.4
304,0.35,12:11,147,78.1
305,0.35,12:25,148,78.1
306,0.35,12:46,147,78.1
307,0.36,12:53,147,78.1
308,0.36,13:16,147,78.1
309,0.36,13:01,147,78.1
310,0.36,12:46,147,78.1
311,0.36,12:53,147,78.7
312,0.36,12:53,146,78.7
313,0.36,12:04,146,78.1
314,0.37,12:11,146,78.1
315,0.37,12:46,145,78.1
316,0.37,12:46,145,78.1
317,0.37,13:32,145,78.1
318,0.37,14:25,144,78.1
319,0.37,14:25,144,78.1
320,0.37,14:07,144,78.1
321,0.37,14:44,144,78.1
322,0.37,14:16,144,78.1
323,0.38,13:08,144,78.1
324,0.38,13:08,144,78.1
325,0.38,13:01,145,78.1
326,0.38,12:11,145,77.4
