elapsed_seconds,distance_miles,pace_per_mile,heartrate,altitude_ft
0,0.0,,78,183.7
1,0.0,15:46,78,183.1
2,0.0,15:46,79,183.1
3,0.0,14:37,81,183.1
4,0.01,13:56,82,182.4
5,0.01,13:32,84,182.4
6,0.01,12:46,85,182.4
7,0.01,12:04,86,181.8
27,0.01,129:34,92,179.8
28,0.01,137:33,93,179.1
29,0.01,76:38,94,179.1
30,0.02,66:23,95,178.5
31,0.02,53:38,96,178.5
32,0.02,10:56,100,177.8
33,0.02,10:33,100,177.2
34,0.02,11:39,99,176.5
35,0.02,10:59,99,175.9
36,0.02,11:05,100,175.9
37,0.03,11:21,100,175.9
38,0.03,11:16,101,175.9
39,0.03,11:33,101,175.9
40,0.03,12:11,102,175.9
41,0.03,12:32,102,175.9
42,0.03,12:04,102,175.9
43,0.03,12:11,103,175.2
44,0.04,11:52,107,175.9
45,0.04,11:21,110,175.9
46,0.04,11:39,112,176.5
47,0.04,11:58,113,176.5
48,0.04,12:32,114,176.5
49,0.04,13:16,115,176.5
50,0.04,13:41,116,176.5
51,0.04,13:58,117,175.9
52,0.05,14:25,118,175.9
53,0.05,14:34,119,175.9
54,0.05,13:32,119,175.2
55,0.05,13:08,121,175.2
56,0.05,13:08,121,175.2
57,0.05,13:24,122,175.2
58,0.05,13:08,122,174.5
59,0.05,14:16,122,174.5
60,0.06,14:54,122,174.5
61,0.06,14:44,122,174.5
62,0.06,14:25,123,175.2
63,0.06,14:44,124,175.2
64,0.06,13:49,123,175.9
65,0.06,12:53,123,175.9
66,0.06,12:32,123,176.5
67,0.07,11:33,123,176.5
68,0.07,10:43,123,176.5
69,0.07,10:28,123,176.5
70,0.07,10:43,123,175.9
71,0.07,10:43,122,175.9
72,0.07,10:59,119,175.9
73,0.07,11:52,115,175.9
74,0.08,12:32,113,175.9
75,0.08,12:32,107,175.9
76,0.08,12:32,109,175.9
77,0.08,13:01,110,175.2
78,0.08,12:18,110,175.2
79,0.08,12:53,110,175.2
80,0.08,13:16,110,175.2
81,0.08,13:41,110,175.2
82,0.08,14:07,111,174.5
83,0.09,14:54,115,174.5
84,0.09,14:16,118,174.5
85,0.09,14:16,121,174.5
86,0.09,14:16,121,174.5
87,0.09,13:32,124,174.5
88,0.09,13:58,125,174.5
89,0.09,13:16,125,173.9
90,0.09,13:01,126,173.9
91,0.1,12:53,127,173.2
92,0.1,12:46,127,173.2
93,0.1,12:04,128,173.2
94,0.1,11:58,128,173.2
95,0.1,11:58,130,173.2
96,0.1,11:33,130,173.2
97,0.1,11:27,130,172.6
98,0.11,11:16,132,172.6
99,0.11,10:54,132,172.6
100,0.11,10:59,132,173.2
101,0.11,11:10,133,173.2
